year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2014,83,48,American-Style Stout,Defender,Haymarket Pub & Brewery,Chicago,IL,Disorder,Barley Brothers Brewery,Baker City,OR,P2P,10 Barrel Brewing Co.,Bend,OR
2015,69,111,German-Style Sour Ale,Gose,Reuben's Brews,Seattle,WA,Volkssekt,Bend Brewing,Bend,OR,Cucumber Crush,10 Barrel Brewing Co.,Bend,OR
2015,86,39,American-Style Stout,Disorder Stout,Barley Brothers Brewery,Baker City,OR,Black Cliffs,Boise Brewing,Boise,ID,P2P,10 Barrel Brewing Co.,Bend,OR
2009,13,82,Out of Category – Traditionally Brewed Beer,W ‘10,Widmer Brothers Brewing,Portland,OR,Brooklyner-Schneider Hopfen-Weisse,Brooklyn Brewery,Brooklyn,NY,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,OR
2014,1,31,American-Style Wheat Beer,Red Dawn,Carson’s Brewery,Evansville,IN,Yellow Armadillo,Thirsty Planet Brewing,Austin,TX,Amber Waves,10 Barrel Brewing Co.,Bend,OR
2012,12,67,Session Beer,Twerp,Pizza Port,Carlsbad,CA,Dock Street/Thiriez Table Saison,Dock Street Brewery,Philadelphia,PA,Bitter American,21st Amendment,San Francisco,CA
2009,22,43,Smoke Beer,Smokejumper,Left Hand Brewing Co.,Longmont,CO,Up In Smoke,Fat Head’s Brewery & Saloon,North Olmsted,OH,Diesel Imperial Smoked Porter,21st Amendment,San Francisco,CA
2007,45,72,Imperial or Double India Pale Ale,Hopsickle,Moylan's Brewery,Novato,CA,Moylander,Moylan's Brewery,Novato,CA,Double Trouble Imperial IPA,21st Amendment,San Francisco,CA
2012,4,38,Fruit Wheat Beer,Ruby Raspberry Wheat,Mad Anthony Brewing,Fort Wayne,IN,Leinenkugel’s Summer Shandy,Jacob Leinenkugel Brewing,Chippewa Falls,WI,5 Lizard Latin-Style Witbier,5 Rabbit Cerveceria,Bedford Park,IL
2006,17,33,Bohemian-Style Pilsener,Schtolen Pils,SandLot Brewery at Coors Field,Denver,CO,La Plata Pils,Carver Brewing,Durango,CO,Papa’s Pilsner,75th Street Brewery,Lawrence,KS
2015,73,47,Belgian-Style Blonde Ale or Pale Ale,Bear Hair,Logboat Brewing Co.,Columbia,MO,Bleek Worden,Prison City Brewing,Auburn,NY,Belgian Style Pale Ale,Aardwolf Brewing Co.,Jacksonville,FL
2014,38,59,German-Style Märzen,Capital Oktoberfest,Capital Brewery,Middleton,WI,Duck-Rabbit Marzen,The Duck-Rabbit Craft Brewery,Farmville,NC,Octoberfest,Abita Brewing Co.,Abita Springs,LA
2013,49,30,International-Style Pale Ale,Hand Truck,Baker City Brewing Co.,Baker City,OR,Amazeballs,Peekskill Brewery,Peekskill,NY,IPL,AC Golden,Golden,CO
2010,35,20,American-Style Dark Lager,Michelob AmberBock,Michelob Brewing Co.,St. Louis,MO,,,,,Schwarzbier,AC Golden,Golden,CO
2011,38,16,American-Style Dark Lager,Durango Dark,Durango Brewing Co.,Durango,CO,Session Black,Full Sail Brewing,Hood River,OR,Schwarzbier,AC Golden Brewing Co.,Golden,CO
2009,34,21,European Style Dunkel,Dunkel,Chuckanut Brewery,Bellingham,WA,Gordon Biersch Dunkles,Gordon Biersch Brewery,Broomfield,CO,Dunkel,AC Golden Brewing Co.,Golden,CO
2012,23,65,Wood- and Barrel-Aged Strong Stout,Fourteen Fourteen,Central Waters Brewing Co.,Amherst,WI,Silva Stout,Green Flash Brewing Co.,San Diego,CA,Barrel Aged Russian Imperial Stout,AC Golden Brewing Co.,Golden,CO
2015,9,142,Herb and Spice Beer,Garden Party,Free State Brewing Co.,Lawrence,KS,Allergeez,Panther Island Brewing Co.,Fort Worth,TX,Oatmeal Raisin Cookie Ale,Aftershock Brewing Co.,Temecula,CA
1999,10,33,Experimental Beer,Hempen-Roggen,Diamondback Brewery,Cleveland,OH,Old Conundrum Barley Wine,Flossmoor Station,Flossmoor,IL,Burghead Pict Heather Ale,Alameda Brewhouse,Portland,OR
1987,,NULL,Consumer Preference Poll,Samuel Adams Festival Lager ,Boston Beer Co.,,,,,,,Chinook Alaskan Amber Beer ,Alaskan Brewing,,
2001,36,34,(Extra Special) Strong Bitter,Bachelor ESB,Deschutes Brewery,Bend,OR,The Tower ESB,Bull & Bush Brewery,Denver,CO,Alaskan ESB,Alaskan Brewing,Juneau,AK
2003,13,19,Smoke Beer,Black Silk,Bluegrass Brewing Co.,Louisville,KY,DeGroen's Rauchbock,Baltimore Brewing,Baltimore,MD,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2014,29,55,Smoke Beer,Rauchbier,Gordon Biersch Brewery,Annapolis,MD,Smokejumper Smoked Imperial Porter,Left Hand Brewing Co.,Longmont,CO,Alaskan Smoked Porter 2013,Alaskan Brewing,Juneau,AK
2007,17,30,Aged Beer,Broad Street Barleywine,Rock Bottom,King of Prussia,PA,2003 Pilgrim’s Dole,New Holland Brewing,Holland,MI,Alaskan Smoked Porter 2004,Alaskan Brewing,Juneau,AK
2000,11,18,Smoke Beer,DeGroen's Rauchbock,Baltimore Brewing,Baltimore,MD,Smoke,Rogue Ales,Newport,OR,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2007,69,36,Oatmeal Stout,Blue Corn Oatmeal Stout,New Mexico Brewers Guild,Santa Fe,NM,Oatmeal Stout,Schooner’s Grille & Brewery,Antioch,CA,Alaskan Stout,Alaskan Brewing,Juneau,AK
2011,26,43,Smoke Beer,Smoke Ale,Rogue Ales,Portland,OR,Smoke Out,Starr Hill Brewing,Crozet,VA,Alaskan Smoked Porter 2010,Alaskan Brewing,Juneau,AK
2002,12,12,Smoke Beer,BJ's Rauchbier,BJ's Restaurant & Brewery,Portland,OR,Pelican Smoked Porter,Redfish New Orleans Brewhouse,Boulder,CO,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2002,29,47,Golden or Blonde Ale,Goose Island Summertime,Goose Island Beer Co.,Chicago,IL,Sweetwater 420 Extra Pale Ale,Sweetwater Brewing,Atlanta,GA,Alaskan Pale,Alaskan Brewing,Juneau,AK
2004,14,19,Smoke Beer,O'Fallon Smoked Porter,O'Fallon Brewery,O'Fallon,MO,Triumph Rauchbier,Triumph Brewing,Princeton,NJ,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2012,83,31,Old Ale or Strong Ale,Heini’s Hooch,The Church Brew Works,Pittsburgh,PA,Papier,The Bruery,Anaheim,CA,AleSmith Decadence ‘10 Old Ale,AleSmith Brewing,San Diego,CA
2005,40,102,American-Style India Pale Ale,Castle Rock IPA,Santa Barbara Brewing,Santa Barbara,CA,Torrey Pines IPA,Oggi's Pizza and Brewing,San Clemente,CA,I.P.A.,AleSmith Brewing,San Diego,CA
2000,7,44,Herb and Spice Beer,Cambridge Espresso Stout,John Harvard's Brew House,Boston,MA,Santa's Lil' Helper,Rocky River Brewing,Rocky River,OH,Stumblin Monk,Alesmith Brewing Co.,San Diego,CA
2012,73,51,Belgian-Style Strong Specialty Ale,Deceit,Funkwerks,Fort Collins,CO,Rhinoceros,Telegraph Brewing Co.,Santa Barbara,CA,AleSmith Grand Cru,AleSmith Brewing,San Diego,CA
2004,64,23,Strong Scotch Ale,Scotch Ale,Sprecher Brewing,Glendale,WI,Founders Margarets Scotch Ale,Founders Restaurant & Brewing Company,Alexandria,VA,AleSmith Wee Heavy,AleSmith Brewing,San Diego,CA
2010,63,45,Belgian-Style Witbier,TAPS Belgian White,TAPS Fish House & Brewery,Brea,CA,Whale Tail Wit,Dry Dock Brewing,Aurora,CO,Allagash White,Allagash Brewing Co.,Portland,ME
2007,61,55,Belgian Style Abbey Ale,Triple Dipsea Belgian-Style Ale,Marin Brewing,Larkspur,CA,Green Flash Trippel,Green Flash Brewing Co.,Vista,CA,Four,Allagash Brewing Co.,Portland,ME
2005,58,47,Belgian-Style Strong Specialty Ale,Belgian Strong,Iron Hill Brewery,Wilmington,DE,Belgian Abbey Ale,Maui Brewing,Lahaina,HI,Grand Cru,Allagash Brewing Co.,Portland,ME
2007,11,34,Experimental Beer,Imperial Chocolate Pumpkin Porter,Midnight Sun Brewing Co.,Anchorage,AK,Veritas 002,Port Brewing & The Lost Abbey,San Marcos,CA,Victor,Allagash Brewing Co.,Portland,ME
2008,73,38,Strong Scotch Ale,AleSmith Wee Heavy,AleSmith Brewing,San Diego,CA,Way Heavy,Pizza Port,Carlsbad,CA,Bag Pipe’s Scotch Ale,Allentown/Bethlehem Brew Works,Allentown,PA
2005,34,39,German-Style Kölsch / Köln-Style Kölsch,Bottom's Up Kölsch,Rock Bottom,Campbell,CA,Claire de Lune,Moon River Brewing Co.,Savannah,GA,Kentucky Light,Alltech's Lexington Brewing Co.,Lexington,KY
2003,10,25,Specialty Honey Beer,Honey Act Your Sage,Flossmoor Station,Flossmoor,IL,Michelob Honey Lager,Anheuser-Busch,Saint Louis,MO,Mandarin Nectar,Alpine Beer,Alpine,CA
2012,52,203,American-Style India Pale Ale,IPA,Tap It Brewing Co.,San Luis Obispo,CA,Pallet Jack IPA,Barley Brothers Brewery,Baker City,OR,Duet,Alpine Beer,Alpine,CA
2012,43,31,Baltic-Style Porter,The Hammer,Rock Bottom,King of Prussia,PA,Danzig,Devils Backbone Brewing,Roseland,VA,Polska Porter,American Brewing Co.,Edmonds,WA
2011,61,49,American-Style Brown Ale,Great American Brown,Pizza Port,Carlsbad,CA,Redrock Nut Brown Ale,Redrock Brewery,Salt Lake City,UT,Brave American,American Brewing Co.,Edmonds,WA
2013,58,56,Extra Special Bitter,Public Ale,Community Beer Co.,Dallas,TX,True Brit IPA,Summit Brewing,Saint Paul,MN,Fed White & Brew,American Brewing Co.,Edmonds,WA
2008,8,24,Rye Beer,Roggenbier,Iron Hill Brewery,Wilmington,DE,Right On Rye,Rock Bottom,Bethesda,MD,Ryeteous Red,Amherst Brewing,Amherst,MA
2008,49,30,Imperial or Double Red Ale,Rock Hopera Imperial IPA,Vino's Pizza Pub,Little Rock,AR,Alpha Dog Double Red Ale,Big Dog’s Brewing Co.,Las Vegas,NV,Weekender Red Ale,Amicas,Salida,CO
2011,49,105,American-Style Pale Ale,Pale 31,Firestone Walker,Paso Robles,CA,Mission St. Pale,Firestone Walker,Paso Robles,CA,Ute Trail Pale Ale,Amicas,Salida,CO
2003,63,36,Strong Scotch Ale,Fat Bastard,Silver City Brewery,Silverdale,WA,Lion Slayer,RAM International/Humperdink's/Big Horn Brewing Co.,Lakewood,WA,Loyal Duke Scotch Ale,Amicas,Salida,CO
1983,,NULL,Consumer Preference Poll,Sierra Nevada Pale Ale ,Sierra Nevada Brewing,,,Sierra Nevada Porter ,Sierra Nevada Brewing,,,Anchor Porter ,Anchor Brewing Co,,
2004,62,49,British Stout,Snowplow Milk Stout,Widmer Brothers Brewing,Portland,OR,Oatmeal Stout X,Rock Bottom,Long Beach,CA,Barney Flats,Anderson Valley Brewing,Booneville,CA
2001,46,32,Brown Porter,MacTarnahan's Black Watch Cream Porter,Portland Brewing,Portland,OR,Molly's Titanic Brown Ale,Rock Bottom,Denver,CO,Paradise Lost Porter,Angelic Brewing,Madison,WI
2004,41,67,American-Style Amber/Red Ale,Hoptown Paint the Town Red,Hoptown Brewing,Pleasanton,CA,Red Nectar,Firestone Walker,Paso Robles,CA,Arch Amber,Angelic Brewing,Madison,WI
1999,33,95,American-Style Amber / Red Ale,Red Nectar,Humboldt Brewery,Arcata,CA,Capstone ESB,Oasis Brewery,Boulder,CO,Believer's Bitter,Angelic Brewing,Madison,WI
2008,29,24,American-Style Specialty Lager,Hurricane High Gravity,Anheuser-Busch,St. Louis,MO,Natural Ice,Anheuser-Busch,St. Louis,MO,Busch Ice,Anheuser-Busch,St. Louis,MO
2000,24,13,American-Style Dark Lager,H. Saxer Dark Lager,Portland Brewing,Portland,OR,Henry Weinhard's Dark,Blitz-Weinhard Brewing,Tumwater,WA,Michelob Amber Bock,Anheuser-Busch,St. Louis,MO
2009,28,25,American-Style Light Lager,Budweiser Select,Anheuser-Busch,Saint Louis,MO,Keystone Light,Coors Brewing,Golden,CO,Michelob Ultra,Anheuser-Busch,Saint Louis,MO
2006,27,13,American-Style Dark Lager,Leinenkugel’s Creamy Dark,Jacob Leinenkugel Brewing,Chippewa Falls,WI,Freidafest,Humperdinks Big Horn Brewing,Dallas,TX,Ziegenbock,Anheuser-Busch,St. Louis,MO
2005,1,5,Non-Alcoholic (Beer) Malt Beverage,O'Doul's Amber,Anheuser-Busch,St. Louis,MO,Sharp's,Miller Brewing,Milwaukee,WI,O'Doul's,Anheuser-Busch,St. Louis,MO
2003,21,18,American-Style Premium Lager,Point Special,Stevens Point Brewery,Stevens Point,WI,Miller Genuine Draft,Miller Brewing,Milwaukee,WI,Budweiser,Anheuser-Busch,Saint Louis,MO
2000,1,5,Non-Alcoholic (Beer) Malt Beverages,,,,,Pabst NA,Pabst Brewing,Fogelsville,PA,O'Doul's Amber,Anheuser-Busch,St. Louis,MO
2007,29,58,German Style Märzen,Victory Festbier,Victory Brewing Co.,Downingtown,PA,Stewart’s Oktoberfest,Stewart’s Brewing Co.,Bear,DE,Michelob Marzen,Anheuser-Busch,St. Louis,MO
1999,1,6,Non-Alcoholic (Beer) Malt Beverages,Old Milwaukee NA,The Stroh Brewery Company,Fogelsville,PA,,,,,O'Doul's,Anheuser-Busch,St. Louis,MI
2004,1,5,Non-Alcoholic (Beer) Malt Beverage,Old Milwaukee NA,Pabst Brewing,San Antonio,TX,Coors NA,Coors Brewing,Golden,CO,Odoul's Amber,Anheuser-Busch,St. Louis,MO
2004,19,33,American-Style Light Lager,Rainier Light,Pabst Brewing,San Antonio,TX,Old Milwaukee Light,Pabst Brewing,San Antonio,TX,Michelob Light,Anheuser-Busch,St. Louis,MO
1999,30,38,Classic English-Style Pale Ale,Denver Pale Ale,Great Divide Brewing,Denver,CO,Flying Dog Doggie Style,Broadway Brewing,Denver,CO,London Bridge Pale Ale,Arizona Roadhouse and Brewery,Tempe,AZ
2013,28,29,American-Style or International-Style Pilsener,,,,,Gold Leaf Lager,Devils Backbone Brewing,Roseland,VA,Gold Country Pilsner,Auburn Alehouse,Auburn,CA
2010,24,27,American-Style or International-Style Pilsener,Gold Leaf Lager,Devils Backbone Brewing,Roseland,VA,Random Luck,The Sandlot,Denver,CO,Gold Country Pilsner,Auburn Alehouse,Auburn,CA
1987,,NULL,Continental Pilsners,Samuel Adams ,Boston Lager Boston Beer Co,,,Saranac 1888 All-malt Lager ,F. X. Matt Brewing,,,August Schell Pilsner ,August Schell Brewing,,
2013,37,61,American-Style Amber Lager,Rod’s Steam Bitter,Second Street Brewery,Santa Fe,NM,OktoberFish,Flying Fish Brewing Co.,Somerdale,NJ,Schell’s Oktoberfest,August Schell Brewing,New Ulm,MN
2015,39,46,Vienna-Style Lager,Vienna Lager,Devils Backbone Brewing,Lexington,VA,Oktoberfest,Stoudts Brewing Co.,Adamstown,PA,Firebrick,August Schell Brewing,New Ulm,MN
2002,22,34,American-Style Amber Lager,Über Brau,Big Horn Brewing,Lakewood,WA,Wilhelm Sebald's Oktoberfest Bier,Spanish Springs Brewing,The Villages,FL,August Schell Firebrick,August Schell Brewing,New Ulm,MN
2013,4,48,Fruit Wheat Beer,Peachy Peach,Pagosa Brewing,Pagosa Springs,CO,Bitchin’ Berry,Great Basin Brewing,RenoReno,NV,Lilikoi Kepolo,Avery Brewing,Boulder,CO
2005,49,37,American-Style Brown Ale,Bitch Creek ESB,Grand Teton Brewing,Victor,ID,Doryman's Dark Ale,Pelican Pub,Pacific City,OR,Ellie's Brown Ale,Avery Brewing,Boulder,CO
2009,12,32,Experimental Beer,TPS Report,Trinity Brewing,Colorado Springs,CO,Bloody Beer,Shorts Brewing Co.,Bellaire,MI,Brabant,Avery Brewing,Boulder,CO
2006,30,12,German-Style Strong Bock,Autumnal Fire,Capital Brewery,Middleton,WI,Eisphyre,Capital Brewery,Middleton,WI,Procrastinator,Back Street Brewery,Vista,CA
2014,81,26,Classic Irish-Style Dry Stout,Irish Table,Fonta Flora Brewery,Morganton,NC,Shaft House Stout,Dostal Alley BrewPub,Central City,CO,Asphalt Jungle,Bagby Beer Co.,Oceanside,CA
2015,8,79,Chili Beer,Fire Tiger,Lander Brewing Co.,Lander,WY,Heir Apparent,Lickinghole Creek Craft Brewery,Goochland,VA,Ballast Point Pale Ale with Serrano,Ballast Point Brewing,San Diego,CA
2003,56,42,Robust Porter,1535 Pearl Street Porter,Mountain Sun Pub,Boulder,CO,Perseus Porter,Elysian Brewery,Seattle,WA,Black Marlin Porter,Ballast Point Brewing,San Diego,CA
2005,12,75,Wood- and Barrel-aged Beer,Cherry Stout,New Glarus Brewing,New Glarus,WI,A Butt of Gibraltar,Rock Bottom,Englewood,CO,Hout,Ballast Point Brewing,San Diego,CA
2004,7,18,Coffee Flavored Beer,Cup of Mud Java Porter,Blind Tiger Brewery,Topeka,KS,Cup of Joe,CJ's Brewery & Grill,La Jolla,CA,Double Espresso Stout,Barley Brothers Brewery,Lake Havasu City,AZ
2008,6,28,Coffee Flavored Beer,Java the Hut,CB & Potts Restaurant & Brewery,Broomfield,CO,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Double Espresso Stout,Barley Brothers Brewery,Lake Havasu City,AZ
2009,45,108,American-Style Pale Ale,Sweetgrass IPA,Grand Teton Brewing,Victor,ID,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,CO,Tumble Off Pale Ale,Barley Brothers Brewery,Baker City,OR
2013,15,46,Fresh Hop Ale,Cent’s and Censability,Old Town Brewing,Portland,OR,Trail Head,Fat Heads Brewery,Middleburg Heights,OH,Fresh Hop Pallet Jack,Barley Brothers Brewery,Baker City,OR
2011,77,37,American-Style Stout,Jules Winnfield,Pizza Port,Solana Beach,CA,Achievement Beyond Life’s Experiences American Stout (Brit Antrim Benefit Beer),Pizza Port,San Diego,CA,Disorder Stout,Barley Brothers Brewery,Baker City,OR
2012,82,44,Scotch Ale,Way Heavy,Pizza Port,San Clemente,CA,Iron Thistle,Rahr & Sons Brewing,Fort Worth,TX,Scotch Ale,Barley Brothers Brewery,Baker City,OR
2014,65,72,American-Style Black Ale,Black IPA,Cannonball Creek Brewing Co.,Golden,CO,Black Hops Tactical IPA,Überbrew,Billings,MT,Turmoil,Barley Brothers Brewery,Baker City,OR
2008,16,25,Wood- and Barrel-Aged Beer,Old Jack,RAM Restaurant & Brewery,Indianapolis,IN,Buffalo Bock,RAM Restaurant & Brewery,Indianapolis,IN,Beastie Barrel Stout,Barley Island Brewing Co.,Fishers,IN
2005,28,20,European-Style Dark / Münchner Dunkel,Munich Dark,Capital Brewery,Middleton,WI,Triumph Dunkel,Triumph Brewing,New Hope,PA,Black Mountain,Barley's Casino,Henderson,NV
2014,73,27,Belgian- and French-Style Ale,Grisette,Sly Fox Brewhouse,Pottstown,PA,The Citizen,DC Brau Brewing Co.,Washington,DC,Barren Hill Biere De Extra,Barren Hill Tavern and Brewery,Lafayette Hill,PA
2015,64,52,Scottish-Style Ale,Copper John Scotch Ale,Madison River Brewing Co.,Belgrade,MT,Cold Smoke,KettleHouse Brewing Co.,Missoula,MT,Barrio Rojo,Barrio Brewing Co.,Tucson,AZ
2003,7,16,Coffee Flavored Beer,Up All Night Espresso Stout,West Brothers Brewery,Eugene,OR,Merlin's Black Magic,Rocky River Brewing,Rocky River,OH,Maxwell's Dry Stout,Basil T's Brewery & Italian Grill,Red Bank,NJ
2009,63,56,French- and Belgian-Style Saison,Saison Vautour,McKenzie Brew House,Glen Mills,PA,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,Saison Du Bastone,Bastone Brewery,Royal Oak,MI
2012,79,32,Sweet Stout,Udder Love,Beachwood BBQ & Brewing,Long Beach,CA,Milk Stout,Rock Bottom,Westminster,CO,Udder Madness,Bastone Brewery,Royal Oak,MI
2011,69,56,Belgian- and French-Style Ale,California Ale,Telegraph Brewing Co.,Santa Barbara,CA,TAPS Biere de Garde,TAPS Fish House & Brewery,Brea,CA,Pin-Up Blonde,Bastone Brewery,Royal Oak,MI
2012,69,68,French- and Belgian-Style Saison,Saison,Funkwerks,Fort Collins,CO,Saison,Aspen Brewing Co.,Aspen,CO,El Verano,Beachwood BBQ & Brewing,Long Beach,CA
2013,22,117,Wood- and Barrel-Aged Strong Beer,Afternoon Delight,Sun King Brewery,Indianapolis,IN,Twisted Trace,Minneapolis Town Hall Brewery,Minneapolis,MN,Barrel-Aged Full Malted Jacket,Beachwood BBQ & Brewing,Long Beach,CA
2013,8,92,Coffee Beer,Panama Joe’s Coff ee Stout,Il Vicino Brewing,Albuquerque,NM,Barrel-Aged Sump Coff ee Stout,Perennial Artisan Ales,St. Louis,MO,System of a Stout,Beachwood BBQ & Brewing,Long Beach,CA
2006,59,29,Brown Porter,Molly Titanic,Rock Bottom,Denver,CO,St. Charles Porter,Blackstone Brewing,Nashville,TN,Peter Brown Tribute Ale,Bear Republic Brewing,Healdsburg,CA
2011,62,74,American-Style Black Ale,Blacktop IPA,New Glarus Brewing,New Glarus,WI,Blackened CDA,Carter’s Brewing,Billings,MT,Black Racer,Bear Republic Brewing,Healdsburg,CA
2008,32,43,American-Style Amber Lager,BJ’s Oktoberfest,BJ's Restaurant & Brewery,Huntington Beach,CA,Old Scratch Amber Lager,Flying Dog Brewery,Frederick,MD,El Oso,Bear Republic Brewing,Healdsburg,CA
2014,32,46,Bohemian-Style Pilsener,Class VI Golden Lager,Chama River Brewing,Albuquerque,NM,Patio Pounding Pilz,LowDown Brewery + Kitchen,Denver,CO,Double Aught,Bear Republic Brewing,Healdsburg,CA
2010,8,32,Rye Beer,BMB Rye IPA,Black Market Brewing Co.,Temecula,CA,Portsmouth Brewery Rye Not,Portsmouth Brewery,Portsmouth,NH,Roggenbier,Bear Republic Brewing,Healdsburg,CA
2008,24,34,Bohemian-Style Pilsener,Pleasantville Pils,Durango Brewing Co.,Durango,CO,Pallavicini Pilsner,Pug Ryans Brewery,Dillon,CO,Double Aught,Bear Republic Brewing,Healdsburg,CA
2013,82,44,Scotch Ale,Wee Heavy,Dry Dock Brewing,South Dock,,Loose Lucy Scotch Ale,Seabright Brewery,Santa Cruz,CA,Heritage,Bear Republic Brewing,Healdsburg,CA
2006,37,83,American-Style Pale Ale,Tumble Off Pale Ale,Barley Brothers Brewery,Baker City,OR,Brewmasters’ Pale,Widmer Brothers Brewing,Portland,OR,XP Pale Ale,Bear Republic Brewing,Healdsburg,CA
2012,74,44,Brown Porter,Pluff Mud Porter,Holy City Brewing,North Charleston,SC,Exodus,SweetWater Brewing Co.,Atlanta,GA,Peter Brown Tribute Ale,Bear Republic Brewing,Cloverdale,CA
2010,21,30,Aged Beer,John Barleycorn Barleywine ‘06,Mad River Brewing Co.,Blue Lake,CA,Cherry Baltic,Bend Brewing,Bend,OR,Bell’s Expedition Stout (1995),Bell’s Brewery,Galesburg,MI
2009,25,39,Bohemian-Style Pilsener,Vermont Lager,Otter Creek Brewing,Middlebury,VT,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery,Broomfield,CO,Bell’s Lager Beer,Bell’s Brewery,Galesburg,MI
2013,3,73,Fruit Beer,Golden KnotChardonnay,Blue Moon Brewing Co.,Denver,CO,Serendipity,New Glarus Brewing,New Glarus,WI,Sparkleberry Ale,Bell’s Brewery,Galesburg,MI
2007,62,58,Belgian Style Strong Specialty Ale,Celis Grand Cru,Michigan Brewing,Webberville,MI,RedRock Reve,RedRock Brewing Co.,Salt Lake City,UT,Batch 8000,Bell’s Brewery,Galesburg,MI
2012,25,24,Aged Beer,2010 Old Trainwreck Barleywine,Silver Moon Brewing,Bend,OR,2004 Triple Exultation,Eel River Brewing,Fortuna,CA,Lovely Cherry Baltic Porter,Bend Brewing,Bend,OR
2015,43,21,American-Style Dark Lager,Lagerithm,Bottle Logic Brewing,Anaheim,CA,Lighter Than I Look,Figueroa Mountain Brewing,Arroyo Grande,CA,Black Diamond,Bend Brewing,Bend,OR
2010,78,38,Old Ale or Strong Ale,Fourth Dementia Olde Ale,Kuhnhenn Brewing Co.,Warren,MI,Curmudgeon,Founders Brewing Co.,Grand Rapids,MI,Outback X,Bend Brewing,Bend,OR
2013,39,22,American-Style Dark Lager,Old Virginia Dark,Devils Backbone Brewing,Roseland,VA,Leinenkugel’s Creamy Dark,Jacob Leinenkugel Brewing,Chippewa Falls,WI,Black Diamond,Bend Brewing,Bend,OR
2008,46,104,American-Style India Pale Ale,Union Jack IPA,Firestone Walker,Paso Robles,CA,Blind Pig IPA,Russian River Brewing,Santa Rosa,CA,Hop Head,Bend Brewing,Bend,OR
2011,18,21,American-Style Sour Ale,Le Terroir,New Belgium Brewing,Fort Collins,CO,Framboise de Amorosa,The Lost Abbey,San Marcos,CA,Ching Ching,Bend Brewing,Bend,OR
2014,60,71,Extra Special Bitter,Public Ale,Community Beer Co.,Dallas,TX,RedFish,Flying Fish Brewing Co.,Somerdale,NJ,14° ESB,Bent Paddle Brewing Co.,Duluth,MN
2007,37,48,Golden or Blonde Ale,Red Brick Blonde,Atlanta Brewing Co.,Atlanta,GA,Kiwanda Cream Ale,Pelican Pub,Pacific City,OR,Mississippi Blonde,Bent River Brewing Co.,Moline,IL
2006,51,34,German-Style Wheat Ale,Gordon Biersch Weizenbock,Gordon Biersch Brewery,Chattanooga,TN,Boscos Hefeweizen,Boscos,Memphis,TN,Berliner Weiss,Bethlehem Brew Works,Bethlehem,PA
2006,16,40,German-Style Pilsener,Organic Pilsner,Butte Creek Brewing Co.,Chico,CA,Eagle Pride Pilsener,Elk Grove Brewery,Elk Grove,CA,Dog Day’s Pils,Big Buck Brewery and Steakhouse,Auburn Hills,MI
2004,26,31,American-Style Amber Lager,Old Scratch,Flying Dog Brewery,Denver,CO,Extreme Amber,BJ's Restaurant & Brewery,Huntington Beach,CA,UBER BRAU,Big Horn Brewing,Addison,TX
2004,11,29,Experimental Beer,Samuel Adams Millennium,Boston Beer Co.,Boston,MA,Benevolence,Cambridge Brewing,Cambridge,MA,Palm Island Porter,Big Horn Brewing,Tacoma,WA
2004,65,31,Old Ale or Strong Ale,Fat Tuesday Strong Ale,Redfish New Orleans Brewhouse,Boulder,CO,XXX Exultation,Eel River Brewing,Fortuna,CA,Freeride,Big Horn Brewing,Tacoma,WA
2004,32,38,Golden or Blonde Ale,All Nighter,Chicago Brewing,Las Vegas,NV,Mother Lode Golden,Laurelwood Brewing,Portland,OR,Big Horn Blonde,Big Horn Brewing,Wheeling,IL
2005,32,25,German-Style Strong Bock,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Sled Dog Doppel Bock,Wagner Valley Brewing Co.,Lodi,NY,Detonator Doppelbock,Big Horn Brewing,Indianapolis,IN
2001,52,26,Old Ale or Strong Ale,Southampton Old Ale,Southampton Publick House,Southampton,NY,Old Stock Ale,North Coast Brewing,Fort Bragg,CA,Wee Huey's Heavy,Big Horn Brewing,Tacoma,WA
2014,77,64,Belgian-Style Strong Specialty Ale,Squatters Hell’s Keep,Utah Brewers,Salt Lake City,UT,Thor’s Hammer,Bastone Brewery,Royal Oak,MI,Golden Sabbath,Big Island Brewhaus,Kamuela,HI
2000,49,18,Sweet Stout,Black Pearl Stout,Main Street Brewery,Corona,CA,Saint Arnold Winter Stout,Saint Arnold Brewing,Houston,TX,Iron Horse Stout,Big River Grille,Chattanooga,TN
2011,53,82,American-Style Amber/Red Ale,Amber Waves,21st Amendment,San Francisco,CA,Jamaica Red Ale,Mad River Brewing Co.,Blue Lake,CA,Rocket Red,Big River Grille,Chattanooga,TN
