year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2013,17,14,Gluten-Free Beer,Harvester Brewing IPA No. 1,Harvester Brewing,Portland,OR,Gluten Free,Deschutes Brewery,Bend,OR,Gluten-Free Brown Ale,New Planet Beer Co.,Boulder,CO
2000,32,104,American-Style Pale Ale,Telemark IPA,Backcountry Brewery,Frisco,CO,Mad Hatter Ale,New Holland Brewing,Holland,MI,New River Pale Ale,New River Brewing,Blacksburg,VA
2000,18,17,American-Style Premium Lager,Stroh Lager,Stroh Brewery,Fogelsville,PA,Schlitz Malt Liquor,Schlitz Brewing,Fogelsville,PA,New South Lager Beer,New South Brewing,Myrtle Beach,SC
2000,30,34,Classic English-Style Pale Ale,Custer's Last Ale,Snake River Brewing,Jackson,WY,Pick Axe Pale Ale,Tommyknocker Brewery,Idaho Springs,CO,New South Pale Ale,New South Brewing,Myrtle Beach,SC
2006,47,44,English-Style Brown Ale,Dawn Patrol Dark,Pizza Port,San Clemente,CA,Old Town Brown,Natty Greene’s Brewing Co.,Greensboro,NC,Balboa Brown,Newport Beach Brewing,Newport Beach,CA
2007,15,72,Wood- and Barrel-Aged Strong Beer,Bourbon Wheatmiser,Goose Island Beer Co.,Chicago,IL,Bourbon Barrel Anniversary Ale,Olde Peninsula Brewpub & Restaurant,Kalamazoo,MI,Relapse,Newport Beach Brewing,Newport Beach,CA
2004,6,49,Herb and Spice Beer,Somer Gras Citrus Ale,Wynkoop Brewing,Denver,CO,Heather Ale,Amherst Brewing,Amherst,MA,Santa's Lil' Helper,Newport Beach Brewing,Newport Beach,CA
2011,48,20,International-Style Pale Ale,Boulevard Pale Ale,Boulevard Brewing,Kansas City,MO,Intercontinental Pale Ale,Flossmoor Station,Flossmoor,IL,Radiant,Ninkasi Brewing Co.,Eugene,OR
2015,16,161,Session India Pale Ale,The Coachman,Societe Brewing Co.,San Diego,CA,Size 4,Steel Toe Brewing,St. Louis Park,MN,Nose Candy,Noble Ale Works,Anaheim,CA
2009,19,45,Wood- and Barrel-Aged Sour Beer,Bourbonic Plague,Cascade Brewery,Portland,OR,Vlad the Impaler,Cascade Brewery,Portland,OR,Phruit Phunk,Nodding Head Brewing,Philadelphia,PA
2005,52,27,German-Style Wheat Ale,Boscos Hefeweizen,Boscos Brewing,Memphis/Nashville,TN,Weizenbock,Chicago Brewing,Las Vegas,NV,Ich Bin Ein Berliner Weisse,Nodding Head Brewing,Philadelphia,PA
2012,24,70,Wood- and Barrel-Aged Sour Beer,Lady Of The Woods,Cisco Brewers,Nantucket,MA,Sentience,Crooked Stave Artisan Beer Project,Denver,CO,George’s Phunk,Nodding Head Brewing,Philadelphia,PA
2002,14,38,Bohemian-Style Pilsener,Cleveland Chophouse Bohemian Pilsener,Cleveland ChopHouse and Brewery,Cleveland,OH,Barmen Pilsener,Sandlot Brewery,Denver,CO,BoHo Pilsner,Nodding Head Brewing,Philadelphia,PA
2011,70,51,Belgian-Style Lambic or Sour Ale,Fifth Element 2008,Squatters,Salt Lake City,UT,Blue Sunday,New Holland Brewing,Holland,MI,Barton Kriek,North by Northwest,Austin,TX
2003,62,33,Old Ale or Strong Ale,Stewart's Barleywine,Stewart's Brewing Co.,Bear,DE,Hibernation Ale,Great Divide Brewing,Denver,CO,Old Stock Ale,North Coast Brewing,Fort Bragg,CA
2000,19,18,American-Style Specialty Lager,Bull Ice,Schlitz Brewing,Fogelsville,PA,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA,Scrimshaw Beer,North Coast Brewing,Fort Bragg,CA
2001,51,36,Imperial Stout,Raven Maniac Stout,Prescott Brewing,Prescott,AZ,High Desert Imperial Stout,Sweetwater Brewing,Centreville,VA,Old Rasputin,North Coast Brewing,Fort Bragg,CA
2005,4,31,American-Style Hefeweizen,Easy Street Wheat,Odell Brewing,Fort Collins,CO,Faller Wheat Ale,Rock Bottom,Seattle,WA,O'Fallon Wheat,O'Fallon Brewery,O'Fallon,MO
2013,63,73,American-Style Black Ale,Wookey Jack,Firestone Walker,Paso Robles,CA,Black Sails,Coronado Brewing Company Brewpub,Coronado,CA,Oxymoron,Oceanside Ale Works,Oceanside,CA
2007,47,38,Imperial or Double Red Ale,Organic Deranger,Laurelwood Brewing,Portland,OR,Hog Heaven,Avery Brewing,Boulder,CO,Extra Special Red,Odell Brewing,Fort Collins,CO
2006,67,34,Old Ale or Strong Ale,Vintage Ale,The Great Dane Pub,Madison,WI,Tripel Exultation,Eel River Brewing,Fortuna,CA,Curmudgeons Nip,Odell Brewing,Fort Collins,CO
2005,66,34,Strong Scotch Ale,High Road Scotch Ale,Walking Man Brewing,Stevenson,WA,Wee Heavy,AleSmith Brewing,San Diego,CA,Caber Tossed Wee Heavy,Oggi's Pizza and Brewing,San Clemente,CA
2003,48,58,German-Style Hefeweizen,Oak Creek Hefeweizen,Oak Creek Brewing Co.,Sedona,AZ,In-Heat Wheat,Flying Dog Brewery,Denver,CO,Sweet Spot Hefe,Oggi's Pizza and Brewing,San Diego,CA
2006,40,57,Imperial or Double India Pale Ale,Pliny the Elder,Russian River Brewing,Santa Rosa,CA,Poor Man’s IPA,Pizza Port,Carlsbad,CA,Left Coast Hop Juice,Oggi’s Pizza & Brewing Co.,San Clemente,CA
2006,24,45,German-Style Märzen / Oktoberfest,Samuel Adams Octoberfest,The Boston Beer Co.,Boston,MA,Michelob Marzen,Anheuser-Busch,St. Louis,MO,Dominion Octoberfest,Old Dominion Brewing,Ashburn,VA
2005,13,24,Cellar or Unfiltered Beer,Copper Hill Kölsch,The Cambridge House,Granby,CT,Honolua Lager,Maui Brewing,Lahaina,HI,Tuppers' Hop Pocket Pils,Old Dominion Brewing,Ashburn,VA
2012,36,69,German-Style Märzen,Shiner Oktoberfest,Spoetzl Brewery,Shiner,TX,Mecktoberfest,The Olde Mecklenburg Brewery,Charlotte,NC,Dominion Oktoberfest,Old Dominion Brewing,Dover,DE
1984,,NULL,Consumer Preference Poll,Russian Imperial Stout ,Yakima Brewing,,,Grant's Scottish Ale ,Yakima Brewing,,,New Amsterdam Amber ,Old New York Brewing Co,,
2005,9,23,Rye Beer,Rocky Mountain Rye,Smuggler's Brewpub,Telluride,CO,Crazy Jackass Ale,Great American Restaurants,Centreville,VA,Catch Her In the Rye,Olde Auburn Ale House,Auburn,AL
2007,21,47,German-Style Pilsener,Pikeland Pils,Sly Fox Brewhouse,Royersford,PA,Prima Pils,Victory Brewing Co.,Downingtown,PA,Kingfisher Premium Lager Beer,Olde Saratoga Brewing Co.,Saratoga Springs,NY
2003,38,94,American-Style India Pale Ale,Hoptown IPA,Hoptown Brewing,Pleasanton,CA,Hopzilla IPA,Two Rows Restaurant & Brewery,Dallas,TX,Hop Maniac IPA,On Tap Bistro & Brewery,San Diego,CA
1999,46,24,Classic Irish-Style Dry Stout,Dark Starr,Starr Hill Brewing,Charlottesville,VA,Iron House Stout,Red Star Brewery,Greensburg,PA,Reverend Sandi's Sinful Stout,Oskar Blues,Lyons,CO
2011,81,39,Scotch Ale,Wee Muckle,Sun King Brewery,Indianapolis,IN,Wee Heavy,Vintage Brewing Co.,Madison,WI,Old Chub Scotch Ale,Oskar Blues,Longmont,CO
2005,16,43,Bohemian-Style Pilsener,Pallavicini Pilsner,Pug Ryan's Brewery,Dillon,CO,Triumph Czech Pilsener,Triumph Brewing,Princeton,NJ,Vermont Lager,Otter Creek Brewing,Middlebury,VT
2002,5,35,Herb and Spice Beer,Upland Wheat Ale,Upland Brewing,Bloomington,IN,Mocha Joe,Sports City Café & Brewery,La Jolla,CA,Lemongrass Wheat,Outer Banks Brewing Co.,Kill Devil Hills,NC
2002,52,14,Sweet Stout,Collaborator Milk Stout,Widmer Brothers Brewing,Portland,OR,Cream Stout,Redwood Brewing,Flint,MI,Subjugator Stout,P.H. Woods Restaurant,Moreno Valley,CA
2011,32,55,"American-Style Lager, Light Lager or Premium Lager",Old Milwaukee Light,Pabst Brewing,Woodridge,IL,Busch Light,Anheuser-Busch,St. Louis,MO,Pabst Blue Ribbon Light,Pabst Brewing,Woodridge,IL
2005,2,17,American Cream Ale or Lager,TAPS Cream Ale,TAPS Fish House & Brewery,Brea,CA,Genesee Cream Ale,High Falls Brewing,Rochester,NY,Special Export,Pabst Brewing,San Antonio,TX
2013,33,42,American-Style Lager or Light Lager,Budweiser Select,Anheuser-Busch,St. Louis,MO,Miller High Life,Miller Brewing,Milwaukee,WI,Special Export,Pabst Brewing,Los Angeles,CA
2006,21,27,American-Style Lager,Pabst Blue Ribbon,Pabst Brewing,Woodridge,IL,Miller High Life,Miller Brewing,Milwaukee,WI,Blatz,Pabst Brewing,Woodridge,IL
2003,18,27,American-Style Light Lager,Old Style Light,Pabst Brewing,San Antonio,TX,Miller Lite,Miller Brewing,Milwaukee,WI,Old Milwaukee Light,Pabst Brewing,San Antonio,TX
