year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
2015,28,137,Wood- and Barrel-Aged Sour Beer,Veritas 015,The Lost Abbey,San Marcos,CA,24 Frames Per Second,Our Mutual Friend Malt & Brew,Denver,CO,Sour Opal,Firestone Walker Barrelworks,Buellton,CA
2015,29,38,Aged Beer,Big Deluxe,Ritual Brewing Co.,Redlands,CA,Sasquatch 2014,903 Brewers,Sherman,TX,Old Diablo,Morgan Territory Brewing,Tracy,CA
2015,30,45,Kellerbier or Zwickelbier,STS Pils,Russian River Brewing Co.,Santa Rosa,CA,TAPS Kellerbier,TAPS Fish House & Brewery - Brea,Brea,CA,Fargo Original,Fargo Brewing Co.,Fargo,ND
2015,31,57,Smoke Beer,Smoked Märzen,49th State Brewing Co.,Denali National Park,AK,S.S.A.,Titletown Brewing Co.,Green Bay,WI,Smokie Robbins,Lager Heads Brewing Co.,Medina,OH
2015,32,51,American-Style or International-Style Pilsener,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,Mexican Logger,SKA Brewing,Durango,CO,Amend This!,TAPS Fish House & Brewery - Brea,Brea,CA
2015,33,100,German-Style Pilsener,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,Pilsner,pFriem Family Brewers,Hood River,OR,Pilsner,Dry Dock Brewing Co.,Aurora,CO
2015,34,62,Bohemian-Style Pilsener,Shower Beer,Champion Brewing Co.,Charlottesville,VA,Bohemian Pilsner,von Trapp Brewing,Stowe,VT,Peacemaker Pilsner,Pug Ryan’s Brewing Co.,Dillon,CO
2015,35,55,Munich-Style Helles,Bucket Seat Blonde,Garage Brewing Co. & Pizzeria,Temecula,CA,Long Goodbye,Ahnapee Brewery,Algoma,WI,Goldencold Lager,Susquehanna Brewing Co.,Pittston,PA
2015,36,48,Dortmunder or German-Style Oktoberfest,Oktoberfest,Fort Collins Brewery & Tavern,Fort Collins,CO,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua Kona,HI,Helles Lager,Lucky Envelope Brewing,Seattle,WA
2015,37,55,American-Style Lager or Light Lager,Coors Banquet,Coors Brewing Co.,Golden,CO,Summer Siesta Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,Southern Girl Lager,Sycamore Brewing,Charlotte,NC
2015,38,56,American-Style Cream Ale,Rainier Lager,Pabst Brewing Co.,Los Angeles,CA,Olympia,Pabst Brewing Co.,Los Angeles,CA,Nuff,Dale Bros Brewery,Upland,CA
2015,39,46,Vienna-Style Lager,Vienna Lager,Devils Backbone Brewing Co. - Outpost,Lexington,VA,Oktoberfest,Stoudts Brewing Co.,Adamstown,PA,Firebrick,August Schell Brewing Co.,New Ulm,MN
2015,40,65,German-Style Märzen,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,Antonius 1742 Oktoberfest,Thr3e Wise Men Brewing Co.,Indianapolis,IN,Duck-Rabbit Märzen,Duck-Rabbit Craft Brewery,Farmville,NC
2015,41,48,American-Style Amber Lager,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,IN,Karbachtoberfest,Karbach Brewing Co.,Houston,TX,St. Florian’s Brewery California Common,St. Florian’s Brewery,Windsor,CA
2015,42,34,European-Style Dark/Münchner Dunkel,Gigi,Exile Brewing,Des Moines,IA,Fearless Youth,Grimm Brothers Brewhouse,Loveland,CO,Chuckanut Dunkel,Chuckanut Brewery,Bellingham,WA
2015,43,21,American-Style Dark Lager,Lagerithm,Bottle Logic Brewing,Anaheim,CA,Lighter Than I Look,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,Black Diamond,Bend Brewing Co.,Bend,OR
2015,44,37,German-Style Schwarzbier,Lobo Negro,Pedernales Brewing Co.,Fredericksburg,TX,Black Knight,Fat Head’s Brewery - N. Olmstead,North Olmsted,OH,Eastside,Lakefront Brewery,Milwaukee,WI
2015,45,38,Bock,Break Line Bock,Rip Current Brewery,San Marcos,CA,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,A Cart Ride to Mexico,Red Eye Brewing Co.,Wausau,WI
2015,46,25,German-Style Doppelbock or Eisbock,The Regulator,Rahr & Sons Brewing Co.,Fort Worth,TX,Procrastinator Doppelbock,Fitger’s Brewhouse,Duluth,MN,Hot for Teacher Ms. Doppelbock,Thr3e Wise Men Brewing Co.,Indianapolis,IN
2015,47,35,Baltic-Style Porter,Cobaltic Porter,Bottle Logic Brewing,Anaheim,CA,Double Porter,Bemidji Brewing Co.,Bemidji,MN,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery,Farmville,NC
2015,48,107,Golden or Blonde Ale,Sunlight Cream Ale,Sun King Brewing Co.,Indianapolis,IN,Boxcar Blonde Ale,Heroes Restaurant and Brewery,Riverside,CA,Alpine Gold,Tied House Cafe & Brewery - Mtn View,Mountain View,CA
2015,49,111,German-Style Kölsch,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,Friar Chuck,Black Bottle Brewery,Fort Collins,CO
2015,50,38,English-Style Summer Ale,Beaverton Blonde,Golden Valley Brewery and Pub,McMinnville,OR,Cream Ale,Newburgh Brewing Co.,Newburgh,NY,Lonely Blonde,Fulton Beer,Minneapolis,MN
2015,51,46,Classic English-Style Pale Ale,Mr. Kite’s Pale Ale,Social Kitchen & Brewery,San Francisco,CA,India Pale Ale,Arcadia Brewing Co.,Kalamazoo,MI,PBW Pale Ale,Paducah Beer Werks,Paducah,KY
2015,52,42,English-Style India Pale Ale,Shanghai’d IPA,Old Town Brewing,Portland,OR,Monumental IPA,Port City Brewing Co.,Alexandria,VA,Hammersmith IPA,Firestone Walker Brewing Co.,Paso Robles,CA
