year,style,medal,beer,brewery,city,state
2004,South German-Style Hefeweizen,gold,Hefeweizen,Yazoo Brewing,Nashville,TN
2004,South German-Style Hefeweizen,silver,Weathervane Weissbier,Jarre Creek Ranch Brewery,Castle Rock,CO
2004,South German-Style Hefeweizen,bronze,Liquid X,Rock Bottom,Bethesda,MD
2004,Golden or Blonde Ale,gold,All Nighter,Chicago Brewing,Las Vegas,NV
2004,Golden or Blonde Ale,silver,Mother Lode Golden,Laurelwood Brewing,Portland,OR
2004,Golden or Blonde Ale,bronze,Big Horn Blonde,Big Horn Brewing,Wheeling,IL
2004,Old Ale or Strong Ale,gold,Fat Tuesday Strong Ale,Redfish New Orleans Brewhouse,Boulder,CO
2004,Old Ale or Strong Ale,silver,XXX Exultation,Eel River Brewing,Fortuna,CA
2004,Old Ale or Strong Ale,bronze,Freeride,Big Horn Brewing,Tacoma,WA
2004,Experimental Beer,gold,Samuel Adams Millennium,Boston Beer Co.,Boston,MA
2004,Experimental Beer,silver,Benevolence,Cambridge Brewing,Cambridge,MA
2004,Experimental Beer,bronze,Palm Island Porter,Big Horn Brewing,Tacoma,WA
2004,American-Style Amber Lager,gold,Old Scratch,Flying Dog Brewery,Denver,CO
2004,American-Style Amber Lager,silver,Extreme Amber,BJ's Restaurant & Brewery,Huntington Beach,CA
2004,American-Style Amber Lager,bronze,UBER BRAU,Big Horn Brewing,Addison,TX
2004,Barley Wine-Style Ale,gold,Big Woody,Glacier Brewhouse,Anchorage,AK
2004,Barley Wine-Style Ale,silver,Old Bounder,Boundary Bay Brewery,Bellingham,WA
2004,Barley Wine-Style Ale,bronze,Old Crustacean,Rogue Ales,Newport,OR
2004,Imperial or Double India Pale Ale,gold,DoHeny Double IPA,Pizza Port,San Clemente,CA
2004,Imperial or Double India Pale Ale,silver,Frank Double IPA,Port Brewing Pizza Port Carlsbad,Carlsbad,CA
2004,Imperial or Double India Pale Ale,bronze,Pliny the Elder,Russian River Brewing,Santa Rosa,CA
2004,French- and Belgian-Style Saison,gold,Cave Aged Hennepin,Brewery Ommegang,Cooperstown,NY
2004,French- and Belgian-Style Saison,silver,Saison de Carbs,Rio Salado Brewing Company,Tempe,AZ
2004,French- and Belgian-Style Saison,bronze,Farm House Reserve,Fitgers Brewhouse,Duluth,MN
2004,"American-Style ""Light"" Amber Lager",gold,MoJo Lager,Starr Hill Brewing,Charlottesville,VA
2004,"American-Style ""Light"" Amber Lager",silver,Henry Weinhard Amber Light,Miller Brewing,Milwaukee,WI
2004,"American-Style ""Light"" Amber Lager",bronze,Coastal Light Pale,Firestone Walker,Paso Robles,CA
2004,European-Style Pilsener,gold,Mueller Lager,Springfield Brewing,Springfield,MO
2004,European-Style Pilsener,silver,Pilsner 500,Prescott Brewing,Prescott,AZ
2004,European-Style Pilsener,bronze,Herman Brau,SandLot Brewery at Coors Field,Denver,CO
2004,American-Style Wheat Beer,gold,Summer Solstice Wheat,Chelsea Brewing,New York,NY
2004,American-Style Wheat Beer,silver,Bullfrog Ale,Issaquah Brewhouse,Issaquah,WA
2004,American-Style Wheat Beer,bronze,Shiner Winter Ale,The Spoetzl Brewery,Shiner,TX
2004,American-Style India Pale Ale,gold,India Pelican Ale,Pelican Pub,Pacific City,OR
2004,American-Style India Pale Ale,silver,Wipeout IPA,Port Brewing Pizza Port Carlsbad,Carlsbad,CA
2004,American-Style India Pale Ale,bronze,IPA,Schooner's Grille & Brewery,Antioch,CA
2004,Classic Irish-Style Dry Stout,gold,Seaside Stout,Pizza Port,Solana Beach,CA
2004,Classic Irish-Style Dry Stout,silver,Boulevard Dry Stout,Boulevard Brewing,Kansas City,MO
2004,Classic Irish-Style Dry Stout,bronze,Blarney Sister's Dry Irish Stout,Third Street Ale Works,Santa Rosa,CA
2004,Other Strong Ale or Lager,gold,Dragonstooth Stout,Elysian Brewery,Seattle,WA
2004,Other Strong Ale or Lager,silver,Roggenbock,Il Vicino Brewing,Albuquerque,NM
2004,Other Strong Ale or Lager,bronze,Small Craft,Clipper City Brewing,Baltimore,MD
2004,American Lager/Ale or Cream Ale,gold,Red Dog,Miller Brewing,Milwaukee,WI
2004,American Lager/Ale or Cream Ale,silver,Special Export,Pabst Brewing,San Antonio,TX
2004,American Lager/Ale or Cream Ale,bronze,Genesee Cream Ale,High Falls Brewing,Rochester,NY
2004,German-Style Wheat Ale,gold,CBC Ultimate Weiss,Chicago Brewing,Las Vegas,NV
2004,German-Style Wheat Ale,silver,Nodding Head Berliner Weisse,Nodding Head Brewing,Philadelphia,PA
2004,German-Style Wheat Ale,bronze,Wasatch Hefeweizen,Utah Brewers,Salt Lake City,UT
2004,English-Style India Pale Ale,gold,Squatters India Pale Ale,Utah Brewers,Salt Lake City,UT
2004,English-Style India Pale Ale,silver,Goose Island India Pale Ale,Goose Island Beer Co.,Chicago,IL
2004,English-Style India Pale Ale,bronze,Newcomb's IPA,McCoy's Public House,Kansas City,MO
2004,Belgian- and French-Style Ale,gold,Oro De Calabaza,Jolly Pumpkin Artisan Ales,Dexter,MI
2004,Belgian- and French-Style Ale,silver,Grand Cru,Minneapolis Town Hall Brewery,Minneapolis,MN
2004,Belgian- and French-Style Ale,bronze,Bavay,McKenzie Brew House,Glen Mills,PA
2004,Belgian-Style White (or Wit)/Belgian-Style Wheat,gold,Nit Wit,BJ's Restaurant & Brewery,Huntington Beach,CA
2004,Belgian-Style White (or Wit)/Belgian-Style Wheat,silver,Katerina Wit,Main Street Brewery Lamppost Pizza,Corona,CA
2004,Belgian-Style White (or Wit)/Belgian-Style Wheat,bronze,Celis White,Michigan Brewing,Webberville,MI
2004,German-Style Kölsch/Köln-Style Kölsch,gold,Guido's Kolnerbrau,Snake River Brewing,Jackson,WY
2004,German-Style Kölsch/Köln-Style Kölsch,silver,Biloxi Blonde,Coast Brewing,Biloxi,MS
2004,German-Style Kölsch/Köln-Style Kölsch,bronze,Mammoth Gold,Mammoth Brewing,Mammoth Lakes,CA
2004,Imperial Stout,gold,First Date Stout,Steelhead Brewery,Burlingame,CA
2004,Imperial Stout,silver,Imperial Stout,Silver City Brewery,Silverdale,WA
2004,Imperial Stout,bronze,The Legend of the Liquid Brain,Bull & Bush Brewery,Denver,CO
2004,English-Style Brown Ale,gold,Buster Nut Brown,SKA Brewing,Durango,CO
2004,English-Style Brown Ale,silver,Nut Brown Ale,Island Brewing,Carpinteria,CA
2004,English-Style Brown Ale,bronze,Nut Brown Ale,Long Valley Pub,Long Valley,NJ
2004,Strong Scotch Ale,gold,Scotch Ale,Sprecher Brewing,Glendale,WI
2004,Strong Scotch Ale,silver,Founders Margarets Scotch Ale,Founders Restaurant & Brewing Company,Alexandria,VA
2004,Strong Scotch Ale,bronze,AleSmith Wee Heavy,AleSmith Brewing,San Diego,CA
2004,German-Style Strong Bock,gold,Capital Autumnal Fire,Capital Brewery,Middleton,WI
2004,German-Style Strong Bock,silver,Broken Keg Ice Bock,Port Brewing Pizza Port Carlsbad,Carlsbad,CA
2004,German-Style Strong Bock,bronze,Eisbock,New Glarus Brewing,New Glarus,WI
2004,Herb and Spice Beer,gold,Somer Gras Citrus Ale,Wynkoop Brewing,Denver,CO
2004,Herb and Spice Beer,silver,Heather Ale,Amherst Brewing,Amherst,MA
2004,Herb and Spice Beer,bronze,Santa's Lil' Helper,Newport Beach Brewing,Newport Beach,CA
2004,Bohemian-Style Pilsener,gold,Gordon Biersch Czech Lager,Gordon Biersch Brewery,Chattanooga,TN
2004,Bohemian-Style Pilsener,silver,Pallavicini Pilsner,Pug Ryans Brewery,Dillon,CO
2004,Bohemian-Style Pilsener,bronze,La Plata Pils,Carver Brewing,Durango,CO
2004,Classic English-Style Pale Ale,gold,Starr Hill Pale Ale,Starr Hill Brewing,Charlottesville,VA
2004,Classic English-Style Pale Ale,silver,Millennium Ale,Coast Brewing,Biloxi,MS
2004,Classic English-Style Pale Ale,bronze,Pitchfork Pale Ale,Jarre Creek Ranch Brewery,Castle Rock,CO
2004,Scottish-Style Ale,gold,Smokin Scottish Ale,Calhoun's Restaurant,Harrisonburg,VA
2004,Scottish-Style Ale,silver,Hope & King Scotch Ale,Minneapolis Town Hall Brewery,Minneapolis,MN
2004,Scottish-Style Ale,bronze,Charlie's Barley,Ham's Restaurant & Brewhouse,Greenville,NC
2004,Irish-Style Red Ale,gold,Fountain City Amber,75th Street Brewery,Kansas City,MO
2004,Irish-Style Red Ale,silver,McIlhenney's Irish Red,Alpine Beer,Alpine,CA
2004,Irish-Style Red Ale,bronze,Casco Bay Riptide Red Ale,Casco Bay Brewing Company,Portland,ME
2004,American-Style Dark Lager,gold,Beau Rivage Bock,Coast Brewing,Biloxi,MS
2004,American-Style Dark Lager,silver,Michelob Amber Bock,Anheuser-Busch,St. Louis,MO
2004,American-Style Dark Lager,bronze,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing,Chippewa Falls,WI
2004,Wood- and Barrel-Aged Beer,gold,New Glarus Brown Ale,New Glarus Brewing,New Glarus,WI
2004,Wood- and Barrel-Aged Beer,silver,2002 Casked Barley Wine,Schooner's Grille & Brewery,Antioch,CA
2004,Wood- and Barrel-Aged Beer,bronze,Bourbon Russian,Iron Hill Brewery,Wilmington,DE
2004,Belgian-Style Abbey Ale,gold,Abbey Belgian Style Ale,New Belgium Brewing,Fort Collins,CO
2004,Belgian-Style Abbey Ale,silver,Bishop's Tipple Trippel,Main Street Brewery Lamppost Pizza,Corona,CA
2004,Belgian-Style Abbey Ale,bronze,Tripel,Iron Hill Brewery,Wilmington,DE
2004,American-Style Premium Lager,gold,Coors Original,Coors Brewing,Golden,CO
2004,American-Style Premium Lager,silver,Miller High Life,Miller Brewing,Milwaukee,WI
2004,American-Style Premium Lager,bronze,Pabst Blue Ribbon,Pabst Brewing,San Antonio,TX
2004,American-Style Lager,gold,Old Milwaukee,Pabst Brewing,San Antonio,TX
2004,American-Style Lager,silver,Milwaukee's Best,Miller Brewing,Milwaukee,WI
2004,American-Style Lager,bronze,Schlitz,Pabst Brewing,San Antonio,TX
2004,Specialty Honey Beer,gold,Midas Touch,Dogfish Head Brewery,Milton,DE
2004,Specialty Honey Beer,silver,Thunderstorm,Minneapolis Town Hall Brewery,Minneapolis,MN
2004,Specialty Honey Beer,bronze,Orange Blossom Pilsner,Unique Beers,Orlando,FL
2004,American-Style Specialty Lager,gold,Samurai Malt Liquor,Rock Bottom,Long Beach,CA
2004,American-Style Specialty Lager,silver,Schlitz Malt Liquor,Pabst Brewing,San Antonio,TX
2004,American-Style Specialty Lager,bronze,St. Ides Malt Liquor,Pabst Brewing,San Antonio,TX
2004,American-Style Brown Ale,gold,Bitch Creek ESB,Grand Teton Brewing,Victor,ID
2004,American-Style Brown Ale,silver,Bearcat Brown Ale,Big Horn Brewing,Tacoma,WA
2004,American-Style Brown Ale,bronze,Slow Down Brown,Il Vicino Brewing,Albuquerque,NM
2004,Smoke Beer,gold,O'Fallon Smoked Porter,O'Fallon Brewery,O'Fallon,MO
2004,Smoke Beer,silver,Triumph Rauchbier,Triumph Brewing,Princeton,NJ
2004,Smoke Beer,bronze,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2004,English-Style Summer Ale,gold,Cascade Golden Ale,Deschutes Brewery,Bend,OR
2004,English-Style Summer Ale,silver,Chasing Tail Ale,Utah Brewers,Salt Lake City,UT
2004,English-Style Summer Ale,bronze,Surfer's Summer Ale,Pelican Pub,Pacific City,OR
2004,European-Style Dark/Münchner Dunkel,gold,Dunkles Bock,Boundary Bay Brewery,Bellingham,WA
2004,European-Style Dark/Münchner Dunkel,silver,Dark Munich Lager,Rock Bottom,Phoenix,AZ
2004,European-Style Dark/Münchner Dunkel,bronze,Penn Dark,Pennsylvania Brewing,Pittsburgh,PA
2004,Fruit and Vegetable Beer,gold,Raspberry Tart,New Glarus Brewing,New Glarus,WI
2004,Fruit and Vegetable Beer,silver,Chile Beer,Six Rivers Brewery,McKinleyville,CA
2004,Fruit and Vegetable Beer,bronze,Leinenkugel's Berry Weiss,Jacob Leinenkugel Brewing,Chippewa Falls,WI
2004,German-Style Pilsener,gold,Provo Girl Pilsner,Utah Brewers,Salt Lake City,UT
2004,German-Style Pilsener,silver,Ptarmigan Pilsner,Backcountry Brewery,Frisco,CO
2004,German-Style Pilsener,bronze,Sierra Nevada Summerfest,Sierra Nevada Brewing,Chico,CA
2004,Brown Porter,gold,Pete Brown Tribute Ale,Bear Republic Brewing,Healdsburg,CA
2004,Brown Porter,silver,St. Charles Porter,Blackstone Brewing,Nashville,TN
2004,Brown Porter,bronze,Pyramid Porter,Pyramid Ales & Lagers,Seattle,WA
2004,Bitter,gold,Drop Top Amber,Widmer Brothers Brewing,Portland,OR
2004,Bitter,silver,Buckin' Bitter,Bottoms Up Brewing,Pinedale,WY
2004,Bitter,bronze,Sunnyside Pale Ale,Snipes Mountain Brewing,Sunnyside,WA
2004,Coffee Flavored Beer,gold,Cup of Mud Java Porter,Blind Tiger Brewery,Topeka,KS
2004,Coffee Flavored Beer,silver,Cup of Joe,CJ's Brewery & Grill,La Jolla,CA
2004,Coffee Flavored Beer,bronze,Double Espresso Stout,Barley Brothers Brewery,Lake Havasu City,AZ
2004,Foreign (Export)-Style Stout,gold,Custer's Last Stout,Montana Brewing,Billings,MT
2004,Foreign (Export)-Style Stout,silver,Tsunami Stout,Pelican Pub,Pacific City,OR
2004,Foreign (Export)-Style Stout,bronze,Obsidian Stout,Deschutes Brewery,Bend,OR
2004,British Stout,gold,Snowplow Milk Stout,Widmer Brothers Brewing,Portland,OR
2004,British Stout,silver,Oatmeal Stout X,Rock Bottom,Long Beach,CA
2004,British Stout,bronze,Barney Flats,Anderson Valley Brewing,Booneville,CA
2004,Bock,gold,Butt Head Bock,Tommyknocker Brewery,Idaho Springs,CO
2004,Bock,silver,Hops 15th Anniversary Bock,Hops Grillhouse and Brewery,Madison,GA
2004,Bock,bronze,Mai Bock,Sprecher Brewing,Glendale,WI
2004,American-Style Pale Ale,gold,Duckdive Pale Ale,Bill's Tavern & Brewhouse,Cannon Beach,OR
2004,American-Style Pale Ale,silver,New River Pale Ale,New River Brewing,Atlanta,GA
2004,American-Style Pale Ale,bronze,Dillon DAM Extra Pale Ale,Dillon DAM Brewery,Dillon,CO
2004,Extra Special Bitter or Strong Bitter,gold,The Wise ESB,Elysian Brewery,Seattle,WA
2004,Extra Special Bitter or Strong Bitter,silver,Alaskan ESB,Alaskan Brewing,Juneau,AK
2004,Extra Special Bitter or Strong Bitter,bronze,Bachelor ESB,Deschutes Brewery,Bend,OR
2004,Non-Alcoholic (Beer) Malt Beverage,gold,Old Milwaukee NA,Pabst Brewing,San Antonio,TX
2004,Non-Alcoholic (Beer) Malt Beverage,silver,Coors NA,Coors Brewing,Golden,CO
2004,Non-Alcoholic (Beer) Malt Beverage,bronze,Odoul's Amber,Anheuser-Busch,St. Louis,MO
2004,American-Style Amber/Red Ale,gold,Hoptown Paint the Town Red,Hoptown Brewing,Pleasanton,CA
2004,American-Style Amber/Red Ale,silver,Red Nectar,Firestone Walker,Paso Robles,CA
2004,American-Style Amber/Red Ale,bronze,Arch Amber,Angelic Brewing,Madison,WI
2004,American-Style Light Lager,gold,Rainier Light,Pabst Brewing,San Antonio,TX
2004,American-Style Light Lager,silver,Old Milwaukee Light,Pabst Brewing,San Antonio,TX
2004,American-Style Light Lager,bronze,Michelob Light,Anheuser-Busch,St. Louis,MO
2004,German-Style Märzen / Oktoberfest,gold,Oktoberfest,Sprecher Brewing,Glendale,WI
2004,German-Style Märzen / Oktoberfest,silver,Octfest,Old Dominion Brewing,Ashburn,VA
2004,German-Style Märzen / Oktoberfest,bronze,Oktoberfest,Stoudt's Brewing,Adamstown,PA
2004,American-Style Hefeweizen,gold,Hefeweizen,Pyramid Ales & Lagers,Seattle,WA
2004,American-Style Hefeweizen,silver,American Wheat,Upstream Brewing,Omaha,NE
2004,American-Style Hefeweizen,bronze,Mueller Unfiltered Wheat,Springfield Brewing,Springfield,MO
2004,German-Style Brown Ale/Düsseldorf-Style Altbier,gold,Alt,Widmer Brothers Brewing,Portland,OR
2004,German-Style Brown Ale/Düsseldorf-Style Altbier,silver,Four Alarm Alt,Pumphouse Brewery,Longmont,CO
2004,German-Style Brown Ale/Düsseldorf-Style Altbier,bronze,Otis Alt,Elk Grove Brewery,Elk Grove,CA
2004,Beer With Yeast,gold,Triumph Kellerbier,Triumph Brewing,New Hope,PA
2004,Beer With Yeast,silver,Moonmen,SandLot Brewery at Coors Field,Denver,CO
2004,Beer With Yeast,bronze,The Detroit Dwarf,Detroit Beer Co.,Detroit,MI
2004,Munich-Style Helles,gold,B.S. Helles,SandLot Brewery at Coors Field,Denver,CO
2004,Munich-Style Helles,silver,Helles,The Cowboy Restaurant & Brewery,Scottsdale,AZ
2004,Munich-Style Helles,bronze,Augsburger Golden,Stevens Point Brewery,Stevens Point,WI
2004,Vienna-Style Lager,gold,Genesee Red Lager,High Falls Brewing,Rochester,NY
2004,Vienna-Style Lager,silver,Schild brau Amber,Millstream Brewing,Amana,IA
2004,Vienna-Style Lager,bronze,Vienna Lager,Squatters,Salt Lake City,UT
2005,American-Style Strong Pale Ale,gold,Dysfunctionale,Piece Brewery,Chicago,IL
2005,American-Style Strong Pale Ale,silver,Racer,Bear Republic Brewing,Healdsburg,CA
2005,American-Style Strong Pale Ale,bronze,Hoptical Illusion,Blue Point Brewing Co.,Patchogue,NY
2005,Belgian-Style Sour Ale,gold,Kriek De Hill,Iron Hill Brewery,Wilmington,DE
2005,Belgian-Style Sour Ale,silver,Supplication,Russian River Brewing,Santa Rosa,CA
2005,Belgian-Style Sour Ale,bronze,Gueuze-Lambic,Upstream Brewing,Omaha,NE
2005,Smoke Beer,gold,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2005,Smoke Beer,silver,Second Hand Smoke,SandLot Brewery at Coors Field,Denver,CO
2005,Smoke Beer,bronze,Rauchator Dopplebock,The Fort Collins Brewery,Fort Collins,CO
2005,Bock,gold,Mad Brewer Maibock,Church Brew Works,Pittsburgh,PA
2005,Bock,silver,Goat Rancher,SandLot Brewery at Coors Field,Denver,CO
2005,Bock,bronze,J.W. Dundee's Pale Bock,High Falls Brewing,Rochester,NY
2005,Other Strong Ale or Lager,gold,Wheat Wine,Smuttynose Brewing,Portsmouth,NH
2005,Other Strong Ale or Lager,silver,Double Bastard Ale,Stone Brewing,San Marcos,CA
2005,Other Strong Ale or Lager,bronze,El Robusto Porter,Papago Brewing Co.,Scottsdale,AZ
2005,American-Style Brown Ale,gold,Bitch Creek ESB,Grand Teton Brewing,Victor,ID
2005,American-Style Brown Ale,silver,Doryman's Dark Ale,Pelican Pub,Pacific City,OR
2005,American-Style Brown Ale,bronze,Ellie's Brown Ale,Avery Brewing,Boulder,CO
2005,German-Style Schwarzbier,gold,E.J. Phair Schwarzbier,E.J. Phair Brewing Co.,Concord,CA
2005,German-Style Schwarzbier,silver,Kings Peak,Uinta Brewing,Salt Lake City,UT
2005,German-Style Schwarzbier,bronze,Schwarzbier,Hereford & Hops Brewpub,Wausau,WI
2005,Irish-Style Red Ale,gold,Irish Red,Diamond Bear Brewing Co.,Little Rock,AR
2005,Irish-Style Red Ale,silver,Amber Ale,Starr Hill Brewing,Crozet,VA
2005,Irish-Style Red Ale,bronze,Cleary Red,Hereford & Hops Brewpub,Wausau,WI
2005,Imperial or Double Red Ale,gold,Shark Attack,Pizza Port,Solana Beach,CA
2005,Imperial or Double Red Ale,silver,Tongue Buckler,Ballast Point Brewing,San Diego,CA
2005,Imperial or Double Red Ale,bronze,Imperial Red,Eugene City Brewery,Eugene,OR
2005,English-Style Summer Ale,gold,Colorado Trail English Ale,Backcountry Brewery,Frisco,CO
2005,English-Style Summer Ale,silver,Sandbagger Gold,Montana Brewing,Billings,MT
2005,English-Style Summer Ale,bronze,Green Flash Extra Pale Ale,Green Flash Brewing Co.,Vista,CA
2005,German-Style Kölsch / Köln-Style Kölsch,gold,Bottom's Up Kölsch,Rock Bottom,Campbell,CA
2005,German-Style Kölsch / Köln-Style Kölsch,silver,Claire de Lune,Moon River Brewing Co.,Savannah,GA
2005,German-Style Kölsch / Köln-Style Kölsch,bronze,Kentucky Light,Alltech's Lexington Brewing Co.,Lexington,KY
2005,Wood- and Barrel-aged Beer,gold,Cherry Stout,New Glarus Brewing,New Glarus,WI
2005,Wood- and Barrel-aged Beer,silver,A Butt of Gibraltar,Rock Bottom,Englewood,CO
2005,Wood- and Barrel-aged Beer,bronze,Hout,Ballast Point Brewing,San Diego,CA
2005,Barley Wine-Style Ale,gold,Sierra Nevada Bigfoot Barley-Wine Style Ale,Sierra Nevada Brewing,Chico,CA
2005,Barley Wine-Style Ale,silver,Hot Pot,Glenwood Canyon Brewing,Glenwood Springs,CO
2005,Barley Wine-Style Ale,bronze,Old Ruffian Barley Wine,Great Divide Brewing,Denver,CO
2005,American-Style Amber / Red Ale,gold,Amber Waves Ale,Capitol City Brewing,Arlington,VA
2005,American-Style Amber / Red Ale,silver,Sunset Amber Ale,Oggi's Pizza and Brewing,San Clemente,CA
2005,American-Style Amber / Red Ale,bronze,Hoppus Maximus,Thirsty Dog Brewing,Independence,OH
2005,European-Style Pilsener,gold,Pine Mountain Pils,Deschutes Brewery,Bend,OR
2005,European-Style Pilsener,silver,Most Beer Judges Are Bone Heads,SandLot Brewery at Coors Field,Denver,CO
2005,European-Style Pilsener,bronze,Pilsner 500,Prescott Brewing,Prescott,AZ
2005,Old Ale or Strong Ale,gold,Nemesis,Big Time Brewery,Seattle,WA
2005,Old Ale or Strong Ale,silver,Triple Exultation,Eel River Brewing,Fortuna,CA
2005,Old Ale or Strong Ale,bronze,Shorty's Revenge,E.J. Phair Brewing Co.,Concord,CA
2005,Belgian-Style White (or Wit) / Belgian-Style Wheat,gold,White Beer,Allagash Brewing Co.,Portland,ME
2005,Belgian-Style White (or Wit) / Belgian-Style Wheat,silver,Alabaster Wit,Oaken Barrel Brewing Co.,Greenwood,IN
2005,Belgian-Style White (or Wit) / Belgian-Style Wheat,bronze,Nit Wit,BJ's Restaurant & Brewery,AZ/Boulder,CO
2005,American-Style Dark Lager,gold,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing,Chippewa Falls,WI
2005,American-Style Dark Lager,silver,Shiner Bock,The Spoetzl Brewery,San Antonio,TX
2005,American-Style Dark Lager,bronze,Darth's Dark Lager,Redwood Brewing,Flint,MI
2005,Extra Special Bitter or Strong Bitter,gold,Boscos XXX Pale Ale,Boscos Brewing,Memphis/Nashville,TN
2005,Extra Special Bitter or Strong Bitter,silver,Alaskan ESB,Alaskan Brewing,Juneau,AK
2005,Extra Special Bitter or Strong Bitter,bronze,Tinderstick ESB,Big Time Brewery,Seattle,WA
2005,Classic Irish-Style Dry Stout,gold,Dark Starr Stout,Starr Hill Brewing,Crozet,VA
2005,Classic Irish-Style Dry Stout,silver,Seaside Stout,Pizza Port,Solana Beach,CA
2005,Classic Irish-Style Dry Stout,bronze,Sacrilicious Stout,Rochester Mills Beer Co.,Rochester,MI
2005,Imperial Stout,gold,Siberian Night,Thirsty Dog Brewing,Independence,OH
2005,Imperial Stout,silver,Yeti Imperial Stout,Great Divide Brewing,Denver,CO
2005,Imperial Stout,bronze,Got Rocks Russian,Big Rock Chop House,Birmingham,MI
2005,English-Style Brown Ale,gold,Nut Brown Ale,Long Valley Pub,Long Valley,NJ
2005,English-Style Brown Ale,silver,Alice B. Brownie,Big Horn Brewing,Westminster,CO
2005,English-Style Brown Ale,bronze,Dawn Patrol Dark,Pizza Port,Carlsbad,CA
2005,American Cream Ale or Lager,gold,TAPS Cream Ale,TAPS Fish House & Brewery,Brea,CA
2005,American Cream Ale or Lager,silver,Genesee Cream Ale,High Falls Brewing,Rochester,NY
2005,American Cream Ale or Lager,bronze,Special Export,Pabst Brewing,San Antonio,TX
2005,American-Style Pale Ale,gold,Pale Nectar,Firestone Walker,Paso Robles,CA
2005,American-Style Pale Ale,silver,Oak Creek Pale Ale,Oak Creek Brewing Co.,Sedona,AZ
2005,American-Style Pale Ale,bronze,Ironbound Ale,Iron Hill Brewery,Wilmington,DE
2005,American-Style India Pale Ale,gold,Castle Rock IPA,Santa Barbara Brewing,Santa Barbara,CA
2005,American-Style India Pale Ale,silver,Torrey Pines IPA,Oggi's Pizza and Brewing,San Clemente,CA
2005,American-Style India Pale Ale,bronze,I.P.A.,AleSmith Brewing,San Diego,CA
2005,Imperial or Double India Pale Ale,gold,Pliny the Elder,Russian River Brewing,Santa Rosa,CA
2005,Imperial or Double India Pale Ale,silver,Hop 15,Pizza Port,Solana Beach,CA
2005,Imperial or Double India Pale Ale,bronze,Eldridge Grade White Knuckle Double IPA,Marin Brewing,Larkspur,CA
2005,Non-Alcoholic (Beer) Malt Beverage,gold,O'Doul's Amber,Anheuser-Busch,St. Louis,MO
2005,Non-Alcoholic (Beer) Malt Beverage,silver,Sharp's,Miller Brewing,Milwaukee,WI
2005,Non-Alcoholic (Beer) Malt Beverage,bronze,O'Doul's,Anheuser-Busch,St. Louis,MO
2005,Coffee Flavored Beer,gold,Kona Moon,Six Rivers Brewery,McKinleyville,CA
2005,Coffee Flavored Beer,silver,Double Espresso Stout,Barley Brothers Brewery,Lake Havasu City,AZ
2005,Coffee Flavored Beer,bronze,Arctic Rhino Coffee Porter,Midnight Sun Brewing Co.,Anchorage,AK
2005,British Stout,gold,Lasto's Oatmeal Stout,BJ's Restaurant & Brewery,Jantzen Beach/Lloyd Center/Clear Lake,OR/OR/TX
2005,British Stout,silver,Oatmeal Stout,Gella's Diner & Liquid Bread Brewing Co.,Hays,KS
2005,British Stout,bronze,Black Pearl Stout,Main Street Brewery,Corona,CA
2005,Scottish-Style Ale,gold,Royal Oak Red,The Royal Oak Brewery,Royal Oak,MI
2005,Scottish-Style Ale,silver,MacPelican's Scottish Style Ale,Pelican Pub,Pacific City,OR
2005,Scottish-Style Ale,bronze,Laughing Lab Scottish Ale,Bristol Brewing,Colorado Springs,CO
2005,American-Style Lager,gold,Stag,Pabst Brewing,San Antonio,TX
2005,American-Style Lager,silver,Rainier,Pabst Brewing,San Antonio,TX
2005,American-Style Lager,bronze,Milwaukee's Best,Miller Brewing,Milwaukee,WI
2005,American-Style Premium Lager,gold,Pabst Blue Ribbon,Pabst Brewing,San Antonio,TX
2005,American-Style Premium Lager,silver,Olympia,Pabst Brewing,San Antonio,TX
2005,American-Style Premium Lager,bronze,Miller High Life,Miller Brewing,Milwaukee,WI
2005,American-Style Specialty Lager,gold,Barmen Pilsner,SandLot Brewery at Coors Field,Denver,CO
2005,American-Style Specialty Lager,silver,Melvis Easly's Special Lager,SandLot Brewery at Coors Field,Denver,CO
2005,American-Style Specialty Lager,bronze,Ice House,Miller Brewing,Milwaukee,WI
2005,Vienna-Style Lager,gold,Rocktoberfest 2,Rock Bottom,Long Beach,CA
2005,Vienna-Style Lager,silver,Genesee Red Lager,High Falls Brewing,Rochester,NY
2005,Vienna-Style Lager,bronze,Schild Brau Amber,Millstream Brewing,Amana,IA
2005,English-Style India Pale Ale,gold,Sierra Nevada IPA,Sierra Nevada Brewing,Chico,CA
2005,English-Style India Pale Ale,silver,Squatters IPA,Utah Brewers,Salt Lake City,UT
2005,English-Style India Pale Ale,bronze,1800,Minneapolis Town Hall Brewery,Minneapolis,MN
2005,French- and Belgian-Style Saison,gold,Saison de Brooklyn,The Brooklyn Brewery,Brooklyn,NY
2005,French- and Belgian-Style Saison,silver,Southampton Saison,Southampton Publick House,Southampton,NY
2005,French- and Belgian-Style Saison,bronze,Stillwater Rye,Montana Brewing,Billings,MT
2005,Brown Porter,gold,Our Porter,Long Valley Pub,Long Valley,NJ
2005,Brown Porter,silver,Old Grind Porter,Etna Brewing Co.,Etna,CA
