year,style,medal,beer,brewery,city,state
1999,German-Style Kölsch / Köln-Style Kölsch,bronze,Red Lodge Reserve,Red Lodge Ales,Red Lodge,MT
1999,German-Style Wheat Ale,gold,Hoffbrau Hefeweizen,Arizona Roadhouse and Brewery,Tempe,AZ
1999,German-Style Wheat Ale,silver,Double Play Dunkel Weizen,Leinenkugel Brewing,Phoenix,AZ
1999,German-Style Wheat Ale,bronze,Wild Pitch Hefeweizen,Sandlot Brewery,Denver,CO
1999,Strong Scotch Ale,gold,MacSpootin Scotch,Back Bay Brewing Company,Boston,MA
1999,Strong Scotch Ale,silver,Winterfest Ale,Rocky River Brewing,Sevierville,TN
1999,Strong Scotch Ale,bronze,Prescott's Wee Heavy,Bitter End,Austin,TX
1999,English-Style (Extra Special) Strong Bitter,gold,Extra Special Bitter,Russian River Brewing,Guerneville,CA
1999,English-Style (Extra Special) Strong Bitter,silver,Settlers Ale,Crooked River Brewing,Cleveland,OH
1999,English-Style (Extra Special) Strong Bitter,bronze,Saint Arnold Amber Ale,Saint Arnold Brewing,Houston,TX
1999,Sweet Stout,gold,,,,
1999,Sweet Stout,silver,Kickstart Stout,Barley Brothers Brewery,Lake Havasu City,AZ
1999,Sweet Stout,bronze,A Beer Named Bob,Bitter Creek Brewing,Rock Springs,WY
1999,Raspberry Beers,gold,Widmer Widberry,Widmer Brothers Brewing,Portland,OR
1999,Raspberry Beers,silver,Railway Razz,Willoughby Brewing,Willoughby,OH
1999,Raspberry Beers,bronze,Blackberry Beauty,Bill's Tavern & Brewhouse,Cannon Beach,OR
1999,Specialty Honey Beer,gold,Nayati's Honey Ale,Wolf Canyon Brewing Company,Santa Fe,NM
1999,Specialty Honey Beer,silver,Gandy Dancer Honey Ale,Flossmoor Station,Flossmoor,IL
1999,Specialty Honey Beer,bronze,Garden Party Elixir,Bill's Tavern & Brewhouse,Cannon Beach,OR
1999,Classic Irish-Style Dry Stout,gold,Dark Starr,Starr Hill Brewing,Charlottesville,VA
1999,Classic Irish-Style Dry Stout,silver,Iron House Stout,Red Star Brewery,Greensburg,PA
1999,Classic Irish-Style Dry Stout,bronze,Reverend Sandi's Sinful Stout,Oskar Blues,Lyons,CO
1999,Classic English-Style Pale Ale,gold,Denver Pale Ale,Great Divide Brewing,Denver,CO
1999,Classic English-Style Pale Ale,silver,Flying Dog Doggie Style,Broadway Brewing,Denver,CO
1999,Classic English-Style Pale Ale,bronze,London Bridge Pale Ale,Arizona Roadhouse and Brewery,Tempe,AZ
1999,Foreign-Style Stout,gold,Zonker Stout,Snake River Brewing,Jackson,WY
1999,Foreign-Style Stout,silver,Obsidian Stout,Deschutes Brewery,Bend,OR
1999,Foreign-Style Stout,bronze,West Brothers Stout,West Brothers Brewery,Eugene,OR
1999,Irish-Style Red Ale,gold,Scarab Red,Oasis Brewery,Boulder,CO
1999,Irish-Style Red Ale,silver,Fatty Rice Irish Ale,Il Vicino Brewing,Colorado Springs,CO
1999,Irish-Style Red Ale,bronze,Badger Red Ale,J.T. Whitney's Pub & Brewery,Madison,WI
1999,English Old Ale / English Strong Ale,gold,Anniversary Ale,Steelhead Brewery,Eugene,OR
1999,English Old Ale / English Strong Ale,silver,Cabin Fever Winter Ale,Boundary Bay Brewery,Bellingham,WA
1999,English Old Ale / English Strong Ale,bronze,Special Old Ale,Commonwealth Brewing,Boston,MA
1999,German-Style Brown Ale / Düsseldorf-Style Altbier,gold,Otis Alt,Elk Grove Brewery,Elk Grove,CA
1999,German-Style Brown Ale / Düsseldorf-Style Altbier,silver,Spalty Alt,Red Rock Brewing,Salt Lake City,UT
1999,German-Style Brown Ale / Düsseldorf-Style Altbier,bronze,Old 8444,Union Colony Brewery,Greeley,CO
1999,Barley Wine-Style Ale,gold,Old Gander Barley Wine Ale,Snow Goose Restaurant and Sleeping Lady Brewing Company,Anchorage,AK
1999,Barley Wine-Style Ale,silver,Full Sail Boardhead Barleywine Ale,Full Sail Brewing,Portland,OR
1999,Barley Wine-Style Ale,bronze,Old Scratch's Wicked Stepmother,Great Dane Pub,Madison,WI
1999,Oatmeal Stout,gold,Blast Furnace Stout,Church Brew Works,Pittsburgh,PA
1999,Oatmeal Stout,silver,Farmer Jon's Oatmeal Stout,Heartland Brewery,New York,NY
1999,Oatmeal Stout,bronze,Ohio City Oatmeal Stout,Great Lakes Brewing,Cleveland,OH
1999,American Dark Lager,gold,,,,
1999,American Dark Lager,silver,Boiler Room Dark Lager,Colorado Belle,Laughlin,NV
1999,American Dark Lager,bronze,Black Star Black Lager,Great Northern Brewing,Whitefish,MT
